SECCION ELECTORAL,MUNICIPIO,EXTRA DATA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1,ACAJETE,1,,,,,
2,ACAJETE,1,,,,,
4,ACAJETE,1,,,,,
5,ACAJETE,1,,,,,
6,ACAJETE,1,,,,,
7,ACAJETE,1,,,,,
8,ACAJETE,1,,,,,
9,ACAJETE,1,,,,,
10,ACAJETE,1,,,,,
11,ACAJETE,1,,,,,
15,ACAJETE,1,,,,,
16,ACAJETE,1,,,,,
17,ACAJETE,1,,,,,
18,ACAJETE,1,,,,,
28,ACATLAN,1,,,,,
29,ACATLAN,1,,,,,
31,ACATLAN,1,,,,,
32,ACATLAN,1,,,,,
34,ACATLAN,1,,,,,
35,ACATLAN,1,,,,,
37,ACATLAN,1,,,,,
40,ACATLAN,1,,,,,
45,ACATZINGO,1,,,,,
46,ACATZINGO,1,,,,,
47,ACATZINGO,1,,,,,
49,ACATZINGO,1,,,,,
50,ACATZINGO,1,,,,,
51,ACATZINGO,1,,,,,
52,ACATZINGO,1,,,,,
55,ACATZINGO,1,,,,,
57,ACATZINGO,1,,,,,
58,ACATZINGO,1,,,,,
59,ACATZINGO,1,,,,,
60,ACATZINGO,1,,,,,
66,AHUACATLAN,1,,,,,
76,AHUAZOTEPEC,1,,,,,
77,AHUAZOTEPEC,1,,,,,
79,AHUEHUETITLA,1,,,,,
80,AJALPAN,1,,,,,
81,AJALPAN,1,,,,,
82,AJALPAN,1,,,,,
83,AJALPAN,1,,,,,
84,AJALPAN,1,,,,,
85,AJALPAN,1,,,,,
86,AJALPAN,1,,,,,
90,AJALPAN,1,,,,,
91,AJALPAN,1,,,,,
94,AJALPAN,1,,,,,
96,AJALPAN,1,,,,,
97,AJALPAN,1,,,,,
107,ALTEPEXI,1,,,,,
108,ALTEPEXI,1,,,,,
110,ALTEPEXI,1,,,,,
111,ALTEPEXI,1,,,,,
112,ALTEPEXI,1,,,,,
116,AMOZOC,1,,,,,
117,AMOZOC,1,,,,,
118,AMOZOC,1,,,,,
120,AMOZOC,1,,,,,
121,AMOZOC,1,,,,,
122,AMOZOC,1,,,,,
123,AMOZOC,1,,,,,
124,AMOZOC,1,,,,,
126,AMOZOC,1,,,,,
127,AMOZOC,1,,,,,
129,AMOZOC,1,,,,,
130,AMOZOC,1,,,,,
131,AMOZOC,1,,,,,
132,AMOZOC,1,,,,,
133,AMOZOC,1,,,,,
134,AQUIXTLA,1,,,,,
139,ATEMPAN,1,,,,,
140,ATEMPAN,1,,,,,
143,ATEMPAN,1,,,,,
144,ATEMPAN,1,,,,,
145,ATEMPAN,1,,,,,
146,ATEMPAN,1,,,,,
154,ATLIXCO,1,,,,,
159,ATLIXCO,1,,,,,
160,ATLIXCO,1,,,,,
163,ATLIXCO,1,,,,,
164,ATLIXCO,1,,,,,
165,ATLIXCO,1,,,,,
168,ATLIXCO,1,,,,,
169,ATLIXCO,1,,,,,
170,ATLIXCO,1,,,,,
174,ATLIXCO,1,,,,,
185,ATLIXCO,1,,,,,
186,ATLIXCO,1,,,,,
201,ATLIXCO,1,,,,,
202,ATLIXCO,1,,,,,
207,ATLIXCO,1,,,,,
208,ATLIXCO,1,,,,,
212,ATLIXCO,1,,,,,
213,ATLIXCO,1,,,,,
215,ATLIXCO,1,,,,,
216,ATLIXCO,1,,,,,
222,ATOYATEMPAN,1,,,,,
223,ATOYATEMPAN,1,,,,,
248,CALPAN,1,,,,,
262,CA\ADA MORELOS,1,,,,,
265,CA\ADA MORELOS,1,,,,,
270,CA\ADA MORELOS,1,,,,,
283,CORONANGO,1,,,,,
284,CORONANGO,1,,,,,
285,CORONANGO,1,,,,,
286,CORONANGO,1,,,,,
289,CORONANGO,1,,,,,
290,CORONANGO,1,,,,,
291,CORONANGO,1,,,,,
292,CORONANGO,1,,,,,
293,CORONANGO,1,,,,,
300,COXCATLAN,1,,,,,
306,COYOMEAPAN,1,,,,,
317,CUAPIAXTLA DE MADERO,1,,,,,
318,CUAPIAXTLA DE MADERO,1,,,,,
319,CUAUTEMPAN,1,,,,,
320,CUAUTEMPAN,1,,,,,
323,CUAUTINCHAN,1,,,,,
324,CUAUTINCHAN,1,,,,,
325,CUAUTLANCINGO,1,,,,,
326,CUAUTLANCINGO,1,,,,,
327,CUAUTLANCINGO,1,,,,,
328,CUAUTLANCINGO,1,,,,,
329,CUAUTLANCINGO,1,,,,,
330,CUAUTLANCINGO,1,,,,,
331,CUAUTLANCINGO,1,,,,,
332,CUAUTLANCINGO,1,,,,,
333,CUAUTLANCINGO,1,,,,,
334,CUAUTLANCINGO,1,,,,,
336,CUAUTLANCINGO,1,,,,,
337,CUAUTLANCINGO,1,,,,,
338,CUAUTLANCINGO,1,,,,,
339,CUAUTLANCINGO,1,,,,,
349,CUETZALAN DEL PROGRESO,1,,,,,
352,CUETZALAN DEL PROGRESO,1,,,,,
354,CUETZALAN DEL PROGRESO,1,,,,,
355,CUETZALAN DEL PROGRESO,1,,,,,
359,CUETZALAN DEL PROGRESO,1,,,,,
365,CUYOACO,1,,,,,
367,CUYOACO,1,,,,,
371,CHALCHICOMULA DE SESMA,1,,,,,
372,CHALCHICOMULA DE SESMA,1,,,,,
373,CHALCHICOMULA DE SESMA,1,,,,,
374,CHALCHICOMULA DE SESMA,1,,,,,
379,CHALCHICOMULA DE SESMA,1,,,,,
380,CHALCHICOMULA DE SESMA,1,,,,,
386,CHALCHICOMULA DE SESMA,1,,,,,
395,CHAPULCO,1,,,,,
398,CHIAUTLA,1,,,,,
403,CHIAUTLA,1,,,,,
405,CHIAUTLA,1,,,,,
415,CHIAUTZINGO,1,,,,,
418,CHIAUTZINGO,1,,,,,
420,CHIAUTZINGO,1,,,,,
423,CHICONCUAUTLA,1,,,,,
424,CHICONCUAUTLA,1,,,,,
428,CHICONCUAUTLA,1,,,,,
430,CHICHIQUILA,1,,,,,
433,CHICHIQUILA,1,,,,,
435,CHICHIQUILA,1,,,,,
438,CHICHIQUILA,1,,,,,
441,CHIETLA,1,,,,,
444,CHIETLA,1,,,,,
450,CHIETLA,1,,,,,
453,CHIETLA,1,,,,,
458,CHIETLA,1,,,,,
461,CHIGNAHUAPAN,1,,,,,
462,CHIGNAHUAPAN,1,,,,,
463,CHIGNAHUAPAN,1,,,,,
464,CHIGNAHUAPAN,1,,,,,
466,CHIGNAHUAPAN,1,,,,,
467,CHIGNAHUAPAN,1,,,,,
468,CHIGNAHUAPAN,1,,,,,
470,CHIGNAHUAPAN,1,,,,,
482,CHIGNAHUAPAN,1,,,,,
483,CHIGNAHUAPAN,1,,,,,
486,CHIGNAHUAPAN,1,,,,,
488,CHIGNAHUAPAN,1,,,,,
489,CHIGNAUTLA,1,,,,,
490,CHIGNAUTLA,1,,,,,
491,CHIGNAUTLA,1,,,,,
492,CHIGNAUTLA,1,,,,,
493,CHIGNAUTLA,1,,,,,
494,CHIGNAUTLA,1,,,,,
495,CHIGNAUTLA,1,,,,,
504,HONEY,1,,,,,
505,CHILCHOTLA,1,,,,,
506,CHILCHOTLA,1,,,,,
509,CHILCHOTLA,1,,,,,
510,CHILCHOTLA,1,,,,,
516,DOMINGO ARENAS,1,,,,,
519,ELOXOCHITLAN,1,,,,,
525,EPATLAN,1,,,,,
529,ESPERANZA,1,,,,,
531,ESPERANZA,1,,,,,
535,FRANCISCO Z. MENA,1,,,,,
538,FRANCISCO Z. MENA,1,,,,,
544,GENERAL FELIPE ANGELES,1,,,,,
547,GENERAL FELIPE ANGELES,1,,,,,
548,GENERAL FELIPE ANGELES,1,,,,,
550,GENERAL FELIPE ANGELES,1,,,,,
551,GUADALUPE,1,,,,,
555,GUADALUPE VICTORIA,1,,,,,
556,GUADALUPE VICTORIA,1,,,,,
565,HERMENEGILDO GALEANA,1,,,,,
598,HUAUCHINANGO,1,,,,,
603,HUAUCHINANGO,1,,,,,
604,HUAUCHINANGO,1,,,,,
609,HUAUCHINANGO,1,,,,,
610,HUAUCHINANGO,1,,,,,
611,HUAUCHINANGO,1,,,,,
612,HUAUCHINANGO,1,,,,,
615,HUAUCHINANGO,1,,,,,
616,HUAUCHINANGO,1,,,,,
618,HUAUCHINANGO,1,,,,,
619,HUAUCHINANGO,1,,,,,
621,HUAUCHINANGO,1,,,,,
623,HUAUCHINANGO,1,,,,,
624,HUAUCHINANGO,1,,,,,
629,HUAUCHINANGO,1,,,,,
631,HUEHUETLA,1,,,,,
641,HUEHUETLAN EL CHICO,1,,,,,
651,HUEJOTZINGO,1,,,,,
652,HUEJOTZINGO,1,,,,,
653,HUEJOTZINGO,1,,,,,
654,HUEJOTZINGO,1,,,,,
656,HUEJOTZINGO,1,,,,,
657,HUEJOTZINGO,1,,,,,
659,HUEJOTZINGO,1,,,,,
660,HUEJOTZINGO,1,,,,,
661,HUEJOTZINGO,1,,,,,
662,HUEJOTZINGO,1,,,,,
663,HUEJOTZINGO,1,,,,,
664,HUEJOTZINGO,1,,,,,
665,HUEJOTZINGO,1,,,,,
666,HUEJOTZINGO,1,,,,,
667,HUEJOTZINGO,1,,,,,
668,HUEJOTZINGO,1,,,,,
670,HUEJOTZINGO,1,,,,,
672,HUEJOTZINGO,1,,,,,
674,HUEYAPAN,1,,,,,
677,HUEYAPAN,1,,,,,
678,HUEYTAMALCO,1,,,,,
682,HUEYTAMALCO,1,,,,,
687,HUEYTAMALCO,1,,,,,
690,HUEYTAMALCO,1,,,,,
695,HUEYTLALPAN,1,,,,,
696,HUITZILAN DE SERDAN,1,,,,,
698,HUITZILAN DE SERDAN,1,,,,,
700,HUITZILAN DE SERDAN,1,,,,,
709,IXCAQUIXTLA,1,,,,,
710,IXCAQUIXTLA,1,,,,,
716,IXTACAMAXTITLAN,1,,,,,
723,IXTACAMAXTITLAN,1,,,,,
727,IXTEPEC,1,,,,,
728,IXTEPEC,1,,,,,
732,IZUCAR DE MATAMOROS,1,,,,,
739,IZUCAR DE MATAMOROS,1,,,,,
740,IZUCAR DE MATAMOROS,1,,,,,
743,IZUCAR DE MATAMOROS,1,,,,,
744,IZUCAR DE MATAMOROS,1,,,,,
745,IZUCAR DE MATAMOROS,1,,,,,
746,IZUCAR DE MATAMOROS,1,,,,,
749,IZUCAR DE MATAMOROS,1,,,,,
752,IZUCAR DE MATAMOROS,1,,,,,
753,IZUCAR DE MATAMOROS,1,,,,,
758,IZUCAR DE MATAMOROS,1,,,,,
762,IZUCAR DE MATAMOROS,1,,,,,
765,JALPAN,1,,,,,
768,JALPAN,1,,,,,
770,JOLALPAN,1,,,,,
771,JOLALPAN,1,,,,,
779,JOPALA,1,,,,,
786,JUAN C. BONILLA,1,,,,,
787,JUAN C. BONILLA,1,,,,,
788,JUAN C. BONILLA,1,,,,,
789,JUAN C. BONILLA,1,,,,,
790,JUAN C. BONILLA,1,,,,,
791,JUAN C. BONILLA,1,,,,,
809,LIBRES,1,,,,,
810,LIBRES,1,,,,,
811,LIBRES,1,,,,,
815,LIBRES,1,,,,,
816,LIBRES,1,,,,,
819,LIBRES,1,,,,,
838,NEALTICAN,1,,,,,
839,NEALTICAN,1,,,,,
840,NEALTICAN,1,,,,,
841,NEALTICAN,1,,,,,
844,NICOLAS BRAVO,1,,,,,
846,NOPALUCAN,1,,,,,
847,NOPALUCAN,1,,,,,
1151,PUEBLA,2,,,,,
1152,PUEBLA,2,,,,,
1153,PUEBLA,2,,,,,
1154,PUEBLA,2,,,,,
1155,PUEBLA,2,,,,,
1156,PUEBLA,2,,,,,
1157,PUEBLA,2,,,,,
1158,PUEBLA,2,,,,,
1159,PUEBLA,2,,,,,
1160,PUEBLA,2,,,,,
1161,PUEBLA,2,,,,,
1162,PUEBLA,2,,,,,
1163,PUEBLA,2,,,,,
1164,PUEBLA,2,,,,,
1165,PUEBLA,2,,,,,
1166,PUEBLA,2,,,,,
1167,PUEBLA,2,,,,,
1168,PUEBLA,2,,,,,
1169,PUEBLA,2,,,,,
1170,PUEBLA,2,,,,,
1171,PUEBLA,2,,,,,
1172,PUEBLA,2,,,,,
1173,PUEBLA,2,,,,,
1174,PUEBLA,2,,,,,
1175,PUEBLA,2,,,,,
1176,PUEBLA,2,,,,,
1177,PUEBLA,2,,,,,
1178,PUEBLA,2,,,,,
1179,PUEBLA,2,,,,,
1180,PUEBLA,2,,,,,
1181,PUEBLA,2,,,,,
1182,PUEBLA,2,,,,,
1183,PUEBLA,2,,,,,
1184,PUEBLA,2,,,,,
1185,PUEBLA,2,,,,,
1186,PUEBLA,2,,,,,
1187,PUEBLA,2,,,,,
1188,PUEBLA,2,,,,,
1189,PUEBLA,2,,,,,
1190,PUEBLA,2,,,,,
1191,PUEBLA,2,,,,,
1192,PUEBLA,2,,,,,
1193,PUEBLA,2,,,,,
1194,PUEBLA,2,,,,,
1195,PUEBLA,2,,,,,
1196,PUEBLA,2,,,,,
1197,PUEBLA,2,,,,,
1198,PUEBLA,2,,,,,
1199,PUEBLA,2,,,,,
1200,PUEBLA,2,,,,,
1201,PUEBLA,2,,,,,
1202,PUEBLA,2,,,,,
1203,PUEBLA,2,,,,,
1204,PUEBLA,2,,,,,
1205,PUEBLA,2,,,,,
1206,PUEBLA,2,,,,,
1207,PUEBLA,2,,,,,
1208,PUEBLA,2,,,,,
1209,PUEBLA,2,,,,,
1210,PUEBLA,2,,,,,
1211,PUEBLA,2,,,,,
1212,PUEBLA,2,,,,,
1213,PUEBLA,2,,,,,
1214,PUEBLA,2,,,,,
1215,PUEBLA,2,,,,,
1216,PUEBLA,2,,,,,
1217,PUEBLA,2,,,,,
1218,PUEBLA,2,,,,,
1219,PUEBLA,2,,,,,
1220,PUEBLA,2,,,,,
1221,PUEBLA,2,,,,,
1222,PUEBLA,2,,,,,
1223,PUEBLA,2,,,,,
1224,PUEBLA,2,,,,,
1225,PUEBLA,2,,,,,
1226,PUEBLA,2,,,,,
1227,PUEBLA,2,,,,,
1228,PUEBLA,2,,,,,
1229,PUEBLA,2,,,,,
1230,PUEBLA,2,,,,,
1231,PUEBLA,2,,,,,
1232,PUEBLA,2,,,,,
1233,PUEBLA,2,,,,,
1234,PUEBLA ( ELIMINADA ),2,,,,,
1235,PUEBLA,2,,,,,
1236,PUEBLA,2,,,,,
1237,PUEBLA,2,,,,,
1238,PUEBLA,2,,,,,
1239,PUEBLA,2,,,,,
1240,PUEBLA,2,,,,,
1241,PUEBLA,2,,,,,
1242,PUEBLA,2,,,,,
1243,PUEBLA,2,,,,,
1244,PUEBLA,2,,,,,
1245,PUEBLA,2,,,,,
1246,PUEBLA,2,,,,,
1247,PUEBLA ( ELIMINADA ),2,,,,,
1248,PUEBLA,2,,,,,
1249,PUEBLA,2,,,,,
1250,PUEBLA  ( ELIMINADA ),2,,,,,
1251,PUEBLA,2,,,,,
1252,PUEBLA,2,,,,,
1253,PUEBLA,2,,,,,
1254,PUEBLA,2,,,,,
1255,PUEBLA,2,,,,,
1256,PUEBLA,2,,,,,
1257,PUEBLA,2,,,,,
1258,PUEBLA,2,,,,,
1259,PUEBLA,2,,,,,
1260,PUEBLA,2,,,,,
1261,PUEBLA,2,,,,,
1262,PUEBLA,2,,,,,
1263,PUEBLA,2,,,,,
1264,PUEBLA,2,,,,,
1265,PUEBLA,2,,,,,
1266,PUEBLA,2,,,,,
1267,PUEBLA,2,,,,,
1268,PUEBLA,2,,,,,
1269,PUEBLA,2,,,,,
1270,PUEBLA,2,,,,,
1271,PUEBLA,2,,,,,
1272,PUEBLA,2,,,,,
1273,PUEBLA,2,,,,,
1274,PUEBLA,2,,,,,
1275,PUEBLA,2,,,,,
1276,PUEBLA,2,,,,,
1277,PUEBLA,2,,,,,
1278,PUEBLA,2,,,,,
1279,PUEBLA,2,,,,,
1280,PUEBLA,2,,,,,
1281,PUEBLA,2,,,,,
1282,PUEBLA,2,,,,,
1283,PUEBLA,2,,,,,
1284,PUEBLA,2,,,,,
1285,PUEBLA,2,,,,,
1286,PUEBLA,2,,,,,
1287,PUEBLA,2,,,,,
1288,PUEBLA,2,,,,,
1289,PUEBLA,2,,,,,
1290,PUEBLA,2,,,,,
1291,PUEBLA,2,,,,,
1292,PUEBLA,2,,,,,
1293,PUEBLA,2,,,,,
1294,PUEBLA,2,,,,,
1295,PUEBLA,2,,,,,
1296,PUEBLA,2,,,,,
1297,PUEBLA,2,,,,,
1298,PUEBLA,2,,,,,
1299,PUEBLA,2,,,,,
1300,PUEBLA,2,,,,,
1301,PUEBLA,2,,,,,
1302,PUEBLA,2,,,,,
1303,PUEBLA,2,,,,,
1304,PUEBLA,2,,,,,
1305,PUEBLA,2,,,,,
1306,PUEBLA,2,,,,,
1307,PUEBLA,2,,,,,
1308,PUEBLA,2,,,,,
1309,PUEBLA,2,,,,,
1310,PUEBLA,2,,,,,
1311,PUEBLA,2,,,,,
1312,PUEBLA,2,,,,,
1313,PUEBLA,2,,,,,
1314,PUEBLA,2,,,,,
1315,PUEBLA,2,,,,,
1316,PUEBLA,2,,,,,
1317,PUEBLA,2,,,,,
1318,PUEBLA,2,,,,,
1319,PUEBLA,2,,,,,
1320,PUEBLA,2,,,,,
1321,PUEBLA,2,,,,,
