SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1413,PUEBLA,47,27,5,10,5,2,44,12,0,1,0,21,1,5,4,191,732,E2,6,11
1413,PUEBLA,44,18,2,14,5,4,41,7,0,0,0,20,1,5,2,169,731,E3,6,11
1413,PUEBLA,61,21,4,3,7,3,35,3,1,0,0,21,3,5,0,174,731,E4,6,11
1413,PUEBLA,51,16,4,13,3,3,29,11,0,4,1,18,3,0,3,165,731,E5,6,11
1413,PUEBLA,53,23,2,10,5,3,41,9,1,0,0,16,2,0,1,173,731,E6,6,11
1413,PUEBLA,44,26,2,17,4,4,51,13,1,0,0,16,5,1,1,203,731,E7,6,11
1414,PUEBLA,37,38,2,19,7,0,41,6,0,3,1,13,5,2,3,181,722,B,6,11
1414,PUEBLA,30,30,1,17,5,1,33,2,1,2,1,13,0,2,1,143,721,C,6,11
1414,PUEBLA,28,30,1,19,15,2,43,10,0,0,0,18,2,6,2,180,721,C,6,11
1414,PUEBLA,29,27,0,20,8,1,38,9,0,0,0,13,1,2,2,152,721,C,6,11
1415,PUEBLA,50,17,3,11,10,4,28,13,2,1,0,24,1,3,0,180,722,B,6,11
1415,PUEBLA,45,21,2,6,3,9,50,8,1,3,0,9,0,1,2,169,722,C,6,11
1415,PUEBLA,54,23,1,5,7,2,51,7,0,1,1,11,0,1,1,170,721,C,6,11
1415,PUEBLA,57,15,3,7,5,7,39,9,2,1,0,19,1,2,1,175,721,C,6,11
1415,PUEBLA,40,21,3,6,7,4,38,7,1,0,0,13,3,0,0,151,721,C,6,11
1415,PUEBLA,52,16,2,6,12,1,49,5,0,1,0,9,0,2,1,158,721,C,6,11
1415,PUEBLA,53,17,0,7,6,5,48,5,3,1,0,11,1,3,2,169,721,C,6,11
1415,PUEBLA,48,24,2,12,8,5,44,12,3,2,1,14,0,1,4,187,721,C,6,11
1415,PUEBLA,48,20,2,5,9,2,40,4,3,2,0,12,2,1,0,159,721,C,6,11
1415,PUEBLA,47,20,1,11,3,1,47,6,0,1,0,17,1,2,0,160,721,C,6,11
1415,PUEBLA,45,27,0,7,1,2,42,17,1,1,1,17,0,3,1,172,721,C,6,11
1415,PUEBLA,32,16,0,8,7,5,30,3,0,2,1,12,0,2,1,126,721,C,6,11
1415,PUEBLA,66,34,1,9,5,4,53,9,2,1,0,8,0,2,1,199,630,E,6,11
1415,PUEBLA,54,14,3,7,3,3,54,8,2,3,1,18,0,3,1,176,630,E1,6,11
1415,PUEBLA,56,31,6,10,7,4,52,13,1,1,2,9,1,1,1,196,630,E2,6,11
1415,PUEBLA,60,30,7,11,5,5,52,9,1,2,0,14,1,2,0,209,629,E3,6,11
1415,PUEBLA,62,24,4,6,6,2,51,7,3,1,1,15,2,0,1,194,629,E4,6,11
1416,PUEBLA,28,26,5,17,8,3,34,6,0,2,1,11,0,2,2,148,688,B,6,11
1416,PUEBLA,29,16,1,10,10,1,24,5,1,0,0,17,0,3,0,120,688,C,6,11
1416,PUEBLA,33,13,0,8,3,3,24,3,0,0,0,13,1,1,0,104,688,C,6,11
1416,PUEBLA,35,11,1,17,10,5,35,8,1,1,0,14,1,1,1,145,688,C,6,11
1416,PUEBLA,41,22,1,15,12,2,39,4,0,3,0,8,0,1,0,150,687,C,6,11
1416,PUEBLA,48,14,1,21,4,3,32,8,0,0,0,14,4,1,0,151,687,C,6,11
1416,PUEBLA,29,16,2,8,10,0,22,4,0,0,0,13,2,1,0,112,687,C,6,11
1416,PUEBLA,33,18,1,17,4,5,33,4,1,1,0,8,0,0,0,128,687,C,6,11
1417,PUEBLA,57,43,3,20,8,4,39,8,0,4,0,17,3,2,2,218,728,B,6,11
1417,PUEBLA,46,24,6,15,3,2,45,12,1,1,0,13,0,2,3,180,728,C,6,11
1417,PUEBLA,34,37,2,11,6,3,46,9,0,2,0,20,1,1,1,177,727,C,6,11
1417,PUEBLA,46,35,2,5,8,0,49,13,3,1,0,11,5,0,2,190,727,C,6,11
1417,PUEBLA,56,28,2,8,5,5,41,6,0,4,0,13,1,0,1,174,727,C,6,11
1417,PUEBLA,29,32,4,10,4,3,46,5,2,1,0,15,1,3,4,167,727,C,6,11
1417,PUEBLA,52,35,5,8,10,3,26,9,0,0,0,9,1,1,1,166,727,C,6,11
1417,PUEBLA,52,35,5,8,10,3,26,9,0,0,0,9,1,1,1,166,727,C,6,11
1417,PUEBLA,56,18,2,15,1,2,37,11,0,2,0,15,3,2,0,174,727,C,6,11
1417,PUEBLA,57,33,3,15,6,1,23,5,2,0,1,9,1,6,1,167,727,C,6,11
1418,PUEBLA,30,35,1,13,4,2,29,3,1,0,0,11,1,0,1,136,710,B,6,11
1418,PUEBLA,23,43,2,21,14,0,18,5,1,0,0,7,1,2,0,137,710,C,6,11
1418,PUEBLA,32,42,3,12,2,1,21,5,0,0,1,10,1,1,1,135,710,C,6,11
1418,PUEBLA,22,28,1,14,8,0,32,3,1,0,0,15,2,0,4,135,710,C,6,11
1418,PUEBLA,37,42,0,10,8,0,33,5,2,0,0,5,1,0,1,147,709,C,6,11
1419,PUEBLA,21,49,1,30,6,1,38,5,2,0,0,11,4,0,0,170,603,B,6,11
1419,PUEBLA,28,50,1,34,5,1,26,2,0,0,0,9,4,2,0,164,602,C,6,11
1419,PUEBLA,24,49,3,23,4,2,35,3,0,0,0,13,2,2,0,162,602,C,6,11
1419,PUEBLA,37,52,2,21,6,2,31,5,0,1,0,4,0,1,2,166,602,C,6,11
1419,PUEBLA,29,49,0,27,3,2,26,4,0,0,0,6,1,0,0,148,602,C,6,11
1420,PUEBLA,26,45,0,22,6,3,17,1,0,2,0,8,3,0,0,139,658,B,6,11
1420,PUEBLA,28,55,1,39,12,1,23,2,0,0,0,9,3,0,0,178,658,C,6,11
1420,PUEBLA,24,54,1,22,12,0,24,5,1,0,0,8,3,0,2,157,658,C,6,11
1420,PUEBLA,17,42,1,22,12,4,22,2,0,0,0,6,4,1,0,135,658,C,6,11
1420,PUEBLA,22,41,1,33,6,3,20,2,0,2,0,11,2,0,1,146,658,C,6,11
1421,PUEBLA,34,67,1,22,13,3,38,6,0,2,0,6,0,1,1,200,731,B,6,11
1421,PUEBLA,31,52,2,21,6,1,42,4,0,0,0,4,4,1,4,179,730,C,6,11
1422,PUEBLA,26,39,2,26,7,1,45,11,0,0,0,9,2,1,1,174,611,B,6,11
1422,PUEBLA,42,53,1,11,5,4,39,8,0,0,0,11,0,0,0,181,610,C,6,11
1422,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,C,6,11
1422,PUEBLA,36,21,2,12,6,4,38,3,2,0,0,19,3,2,1,150,610,C,6,11
1491,PUEBLA,105,21,3,5,6,1,44,25,2,3,0,20,0,4,0,243,506,B,6,16
1491,PUEBLA,105,17,2,4,4,8,41,25,1,1,0,8,1,3,3,233,505,C,6,16
1491,PUEBLA,119,20,5,4,2,2,39,17,2,0,0,17,1,3,0,238,505,C,6,16
1541,PUEBLA,83,25,7,7,8,2,39,9,2,1,0,10,0,2,1,198,594,B,6,16
1541,PUEBLA,56,20,3,9,9,6,34,21,1,2,0,18,2,3,2,197,594,C,6,16
1542,PUEBLA,112,27,6,14,4,3,98,12,1,4,0,19,0,4,3,312,670,B,6,16
1542,PUEBLA,121,20,2,16,6,4,72,21,1,0,0,17,0,5,5,303,670,C,6,16
1542,PUEBLA,128,32,3,10,10,8,76,22,3,0,1,14,0,2,4,327,669,C,6,16
1543,PUEBLA,58,16,2,5,5,1,42,19,1,0,0,6,0,0,1,163,402,B,6,16
1543,PUEBLA,40,21,2,13,5,5,44,5,1,3,1,11,0,0,1,156,402,C,6,16
1544,PUEBLA,68,20,3,7,7,7,41,13,0,3,0,18,2,0,1,204,439,B,6,16
1544,PUEBLA,68,16,2,7,7,9,53,10,0,1,1,18,4,6,0,215,438,C,6,16
1545,PUEBLA,71,21,3,12,4,6,43,11,0,3,1,22,0,1,0,209,509,B,6,16
1545,PUEBLA,82,18,2,16,3,2,58,25,0,0,0,20,1,1,2,238,509,C,6,16
1546,PUEBLA,70,27,2,10,2,4,48,13,1,0,0,11,0,1,1,196,455,B,6,16
1546,PUEBLA,55,22,0,8,5,5,53,15,2,1,0,13,1,1,2,194,455,C,6,16
1547,PUEBLA,68,24,1,2,5,7,54,23,2,0,0,20,1,1,3,216,487,B,6,16
1547,PUEBLA,71,22,1,9,4,4,51,16,4,3,1,13,2,0,1,209,487,C,6,16
1548,PUEBLA,136,24,3,6,3,6,66,18,3,1,0,23,0,0,3,299,563,B,6,16
1548,PUEBLA,122,15,3,8,2,11,65,17,1,0,1,16,0,0,0,265,562,C,6,16
1548,PUEBLA,132,26,3,10,1,10,56,19,0,0,1,15,4,1,1,282,562,C,6,16
1549,PUEBLA,84,25,5,9,4,4,53,12,1,1,0,21,0,1,0,230,545,B,6,16
1549,PUEBLA,71,25,3,11,3,3,45,15,5,2,0,15,1,1,3,216,544,C,6,16
1550,PUEBLA,49,35,7,17,10,4,71,3,1,5,0,22,3,4,1,247,718,B,6,16
1550,PUEBLA,58,34,1,15,10,4,72,11,2,0,0,26,1,3,0,244,717,C,6,16
1550,PUEBLA,59,39,3,15,10,4,70,10,4,0,0,19,1,2,2,245,717,C,6,16
1551,PUEBLA,56,41,3,15,4,5,60,8,2,0,0,18,0,2,1,220,718,B,6,16
1551,PUEBLA,83,27,2,13,7,4,43,8,1,2,0,11,2,4,2,219,718,C,6,16
1551,PUEBLA,68,29,3,18,5,3,62,0,1,1,0,22,2,4,5,242,717,C,6,16
1568,PUEBLA,77,38,5,11,4,1,62,13,1,3,0,27,4,3,3,265,744,B,6,16
1568,PUEBLA,67,37,1,12,3,6,61,13,5,1,1,23,4,6,4,262,743,C,6,16
1569,PUEBLA,76,17,2,13,9,5,79,11,1,1,0,9,0,2,0,233,604,B,6,16
1569,PUEBLA,81,32,4,11,3,9,59,11,1,3,0,21,4,4,2,254,603,C,6,16
1569,PUEBLA,74,25,3,10,4,5,48,16,1,1,0,20,1,4,1,225,603,C,6,16
1570,PUEBLA,78,15,2,11,4,6,53,7,0,1,0,12,1,3,3,207,503,B,6,16
1570,PUEBLA,76,12,3,9,4,3,46,11,2,2,0,24,1,1,1,202,502,C,6,16
1570,PUEBLA,77,19,1,10,4,0,50,12,1,1,0,20,1,2,0,201,502,C,6,16
1571,PUEBLA,153,28,4,18,8,5,89,15,3,7,1,18,0,4,1,362,701,B,6,16
1571,PUEBLA,154,38,1,5,3,8,80,13,2,4,1,23,1,4,1,352,701,C,6,16
1572,PUEBLA,112,28,5,9,6,10,60,15,3,5,0,25,2,5,1,298,628,B,6,11
1572,PUEBLA,94,30,4,8,4,7,68,12,1,3,1,30,4,1,2,279,628,C,6,11
1573,PUEBLA,73,28,4,8,1,4,46,5,3,4,0,16,2,2,1,209,551,B,6,11
1573,PUEBLA,80,38,3,8,9,3,51,13,1,0,0,31,0,0,1,246,551,C,6,11
1574,PUEBLA,89,17,4,9,5,4,64,10,3,2,0,26,0,3,5,251,589,B,6,11
1574,PUEBLA,69,19,2,8,7,0,50,20,1,3,1,16,1,6,1,217,589,C,6,11
1575,PUEBLA,87,39,4,15,4,4,63,21,1,0,0,29,0,2,1,282,742,B,6,11
1575,PUEBLA,81,24,3,10,7,11,56,14,2,3,0,29,1,2,6,263,741,C,6,11
1576,PUEBLA,67,22,6,10,6,1,46,12,2,5,0,13,4,5,3,210,479,B,6,11
1576,PUEBLA,59,23,1,10,4,2,34,17,3,1,2,15,2,1,0,180,479,C,6,11
1577,PUEBLA,121,22,6,8,6,7,62,17,2,2,0,17,1,2,2,284,517,B,6,16
1577,PUEBLA,110,18,6,12,5,9,65,17,5,2,0,8,1,0,0,268,516,C,6,16
1578,PUEBLA,60,23,3,11,3,3,58,8,1,0,2,19,1,3,4,206,582,B,6,16
1578,PUEBLA,47,21,1,8,3,2,54,12,2,3,0,14,1,1,0,179,582,C,6,16
1578,PUEBLA,54,31,1,7,4,2,46,12,0,4,1,10,1,5,0,188,582,C,6,16
1578,PUEBLA,49,24,2,10,5,7,48,10,1,0,0,8,1,2,0,177,581,C,6,16
1578,PUEBLA,114,48,6,28,17,7,120,22,1,1,0,22,2,4,1,406,0,S,6,16
1579,PUEBLA,64,18,4,7,7,5,44,9,2,2,0,12,0,4,0,183,576,B,6,16
1579,PUEBLA,55,26,2,14,5,5,34,10,0,2,0,11,2,1,2,176,575,C,6,16
1579,PUEBLA,54,18,5,6,5,5,32,11,0,0,0,15,0,0,0,157,575,C,6,16
1579,PUEBLA,57,25,3,11,4,5,44,11,0,1,0,9,1,3,5,185,575,C,6,16
1580,PUEBLA,71,30,2,13,5,8,47,2,5,3,0,16,3,0,1,214,643,B,6,16
1580,PUEBLA,42,16,5,15,3,4,71,5,3,0,0,23,1,7,0,207,643,C,6,16
1580,PUEBLA,65,24,5,16,1,4,63,6,2,0,1,17,2,2,2,222,642,C,6,16
1581,PUEBLA,60,30,2,10,3,4,34,4,0,0,0,14,2,3,2,175,555,B,6,16
1581,PUEBLA,62,18,5,5,6,6,32,4,2,0,0,1,2,5,1,157,555,C,6,16
1583,PUEBLA,49,20,1,12,5,5,47,11,2,1,0,24,5,1,0,195,653,B,6,16
1583,PUEBLA,43,31,2,13,6,3,51,11,0,1,0,17,2,2,1,188,653,C,6,16
1583,PUEBLA,41,25,2,13,5,3,68,6,2,0,0,19,0,2,2,202,653,C,6,16
1583,PUEBLA,36,23,1,12,5,4,63,11,5,1,0,10,3,2,3,187,652,C,6,16
1584,PUEBLA,53,21,3,8,4,7,47,8,3,1,1,14,0,0,1,183,698,B,6,16
1584,PUEBLA,72,29,2,15,1,3,33,6,2,1,0,12,1,4,3,200,697,C,6,16
1584,PUEBLA,62,28,3,9,5,5,50,6,3,0,0,14,1,1,2,201,697,C,6,16
1584,PUEBLA,62,28,3,9,5,5,50,6,3,0,0,14,1,1,2,201,697,C,6,16
1585,PUEBLA,92,16,3,12,1,10,45,22,6,3,0,8,1,1,2,225,583,B,6,16
1585,PUEBLA,96,15,1,13,1,2,43,21,4,3,0,13,1,0,1,223,582,C,6,16
1585,PUEBLA,100,12,0,12,3,4,62,27,4,2,0,10,0,2,2,247,582,C,6,16
1586,PUEBLA,100,24,1,5,6,4,56,15,2,2,0,7,0,1,0,231,708,B,6,11
1586,PUEBLA,93,30,2,11,3,2,56,14,0,1,0,13,1,1,0,237,708,C,6,11
1586,PUEBLA,74,23,4,4,4,6,46,14,1,4,0,11,0,2,4,207,708,C,6,11
1586,PUEBLA,81,27,1,10,6,3,58,18,2,1,0,15,1,1,1,234,708,C,6,11
1586,PUEBLA,89,24,4,8,2,9,52,20,1,0,0,21,1,1,1,238,708,C,6,11
1586,PUEBLA,80,22,4,12,8,4,74,14,2,0,0,15,1,3,2,252,708,C,6,11
1586,PUEBLA,104,24,4,10,2,7,52,16,4,2,0,16,0,1,3,251,708,C,6,11
1586,PUEBLA,79,27,1,17,5,3,56,18,1,1,0,10,0,6,0,232,708,C,6,11
1586,PUEBLA,80,19,2,11,1,8,56,10,3,0,0,14,3,0,1,223,708,C,6,11
1586,PUEBLA,106,17,3,8,3,5,72,23,5,1,0,14,0,4,2,268,738,E,6,11
1586,PUEBLA,118,12,3,6,3,6,48,21,0,3,0,11,0,0,1,240,738,E1,6,11
1586,PUEBLA,101,19,5,9,5,8,66,21,2,2,0,13,1,1,1,258,738,E2,6,11
1586,PUEBLA,102,18,5,7,2,5,55,29,6,5,0,14,2,1,1,258,737,E3,6,11
1586,PUEBLA,83,10,4,11,4,5,82,13,5,2,0,10,1,6,0,244,737,E4,6,11
1586,PUEBLA,108,24,4,8,11,3,62,16,1,4,0,17,0,2,0,267,737,E5,6,11
1586,PUEBLA,99,26,4,12,4,11,74,18,1,1,0,9,0,1,1,268,737,E6,6,11
1586,PUEBLA,102,16,3,4,5,2,61,16,2,4,0,10,1,0,0,233,737,E7,6,11
1586,PUEBLA,114,13,0,6,6,4,83,19,1,1,0,12,1,0,1,264,737,E8,6,11
1586,PUEBLA,97,17,3,15,6,12,82,16,0,2,1,10,1,1,0,265,737,E9,6,11
1586,PUEBLA,97,14,1,6,2,7,65,23,2,0,0,11,0,2,2,237,737,E10,6,11
1587,PUEBLA,69,34,3,10,6,1,36,9,4,1,0,18,2,5,2,211,723,B,6,11
1587,PUEBLA,51,32,5,10,5,10,37,16,2,0,0,17,0,2,1,196,723,C,6,11
1587,PUEBLA,66,46,3,10,3,5,40,8,2,4,0,12,1,3,0,216,723,C,6,11
1587,PUEBLA,48,42,1,7,3,3,46,12,2,1,0,9,3,1,3,186,723,C,6,11
1587,PUEBLA,58,49,3,5,2,5,48,8,2,2,1,21,0,0,1,210,723,C,6,11
1587,PUEBLA,55,30,3,5,5,2,38,13,2,5,0,9,2,2,2,179,723,C,6,11
1587,PUEBLA,95,26,4,12,3,4,59,26,2,1,0,19,0,1,1,257,736,E,6,11
1587,PUEBLA,95,26,4,12,3,4,59,26,2,1,0,19,0,1,1,257,736,E1,6,11
1587,PUEBLA,104,24,1,12,2,5,59,17,1,2,1,21,1,4,1,260,736,E2,6,11
1587,PUEBLA,104,21,2,9,2,4,67,11,0,0,0,18,0,0,0,247,735,E3,6,11
1587,PUEBLA,101,16,2,8,3,7,60,18,0,4,1,16,0,1,3,243,735,E4,6,11
1587,PUEBLA,110,16,3,8,2,9,55,13,2,0,0,11,1,3,2,244,735,E5,6,11
1587,PUEBLA,113,23,6,13,1,5,59,8,0,1,0,18,1,1,0,256,735,E6,6,11
1587,PUEBLA,108,20,3,16,8,3,73,13,3,0,0,8,0,2,2,262,735,E7,6,11
1587,PUEBLA,102,15,4,13,5,7,57,13,2,1,0,12,0,2,1,236,735,E8,6,11
1588,PUEBLA,42,43,1,7,2,3,39,11,1,1,0,12,2,1,0,173,685,B,6,16
1588,PUEBLA,50,42,4,10,4,0,39,8,2,0,0,11,0,1,0,177,685,C,6,16
1588,PUEBLA,41,26,1,9,5,7,35,9,1,0,0,15,3,0,2,160,684,C,6,16
1588,PUEBLA,40,45,0,6,8,2,35,7,0,1,0,20,5,2,2,180,684,C,6,16
1588,PUEBLA,46,21,1,11,4,2,40,11,2,2,0,18,3,3,0,171,684,C,6,16
1588,PUEBLA,46,25,1,6,4,8,43,11,1,0,0,20,0,1,1,175,684,C,6,16
1595,PUEBLA,45,43,2,13,8,5,30,9,2,0,1,21,2,0,1,189,737,B,6,16
1595,PUEBLA,50,32,0,8,2,6,31,12,0,2,1,27,2,4,3,190,737,C,6,16
1595,PUEBLA,53,31,2,11,4,5,35,9,2,0,1,27,2,1,0,193,737,C,6,16
1595,PUEBLA,42,30,1,8,1,3,49,16,1,0,0,16,4,1,0,183,737,C,6,16
1595,PUEBLA,50,40,4,6,5,2,45,7,0,1,0,17,2,5,3,195,737,C,6,16
1595,PUEBLA,52,27,3,15,4,3,31,8,1,4,1,27,0,6,2,191,737,C,6,16
1595,PUEBLA,43,39,4,11,2,6,32,9,1,2,1,10,1,3,0,173,737,C,6,16
1595,PUEBLA,66,39,6,11,6,1,30,15,0,0,1,13,1,0,0,195,736,C,6,16
1595,PUEBLA,54,29,2,11,4,4,38,13,1,1,0,14,2,3,3,190,736,C,6,16
1595,PUEBLA,43,31,1,5,7,6,56,7,0,1,1,22,0,3,4,200,736,C,6,16
1596,PUEBLA,64,34,1,12,5,2,38,8,3,1,1,12,0,0,1,193,706,B,6,11
1596,PUEBLA,71,25,1,13,6,3,71,16,1,0,0,17,0,2,0,236,706,C,6,11
1596,PUEBLA,69,20,5,15,6,7,42,15,2,2,0,21,3,4,3,225,706,C,6,11
1596,PUEBLA,72,31,1,10,2,1,41,14,4,1,0,14,2,1,2,204,706,C,6,11
1596,PUEBLA,66,23,2,9,2,7,31,7,0,2,0,20,1,3,1,177,706,C,6,11
1596,PUEBLA,57,32,5,12,3,4,39,12,2,1,0,22,2,4,1,202,706,C,6,11
1596,PUEBLA,49,22,2,12,3,4,62,10,2,0,0,13,3,1,5,195,706,C,6,11
1596,PUEBLA,60,30,4,2,7,8,45,9,1,0,0,13,1,5,2,197,705,C,6,11
1596,PUEBLA,47,24,4,8,3,2,61,13,0,0,0,19,1,2,2,195,705,C,6,11
1596,PUEBLA,70,32,0,14,6,8,59,15,1,1,1,15,1,3,0,234,705,C,6,11
1596,PUEBLA,75,18,2,9,8,2,68,11,1,2,1,14,0,3,2,218,705,C,6,11
1596,PUEBLA,62,26,3,3,8,3,41,7,1,1,1,9,3,0,1,175,705,C,6,11
1596,PUEBLA,44,30,3,20,2,2,37,11,1,0,0,12,1,2,0,171,705,C,6,11
1596,PUEBLA,44,23,2,12,8,4,38,12,0,0,1,20,0,1,2,172,746,E,6,11
1596,PUEBLA,45,36,4,10,9,9,35,11,1,0,0,14,1,1,1,184,746,E1,6,11
1596,PUEBLA,36,20,1,12,5,5,49,13,0,0,0,21,0,2,3,175,746,E2,6,11
1596,PUEBLA,36,20,2,10,8,3,51,9,1,0,0,11,1,1,0,159,746,E3,6,11
1596,PUEBLA,39,21,1,6,6,4,45,7,0,2,0,14,0,2,4,160,746,E4,6,11
1596,PUEBLA,47,24,2,4,10,0,36,12,0,1,1,18,4,0,4,170,746,E5,6,11
1596,PUEBLA,50,21,2,12,11,5,35,12,3,0,2,15,0,4,2,185,745,E6,6,11
1597,PUEBLA,59,11,2,7,0,3,50,13,1,0,0,10,1,0,1,163,432,B,6,11
1597,PUEBLA,61,11,0,7,2,2,42,7,0,1,0,17,0,1,1,159,432,C,6,11
1601,PUEBLA,64,36,1,8,5,1,22,8,0,0,0,14,2,1,1,167,582,B,6,11
1601,PUEBLA,49,23,0,4,6,2,27,6,0,2,0,10,2,0,1,140,582,C,6,11
1601,PUEBLA,25,57,1,9,2,1,21,6,1,0,0,4,4,2,1,142,582,C,6,11
2622,PUEBLA,71,28,5,4,8,1,45,8,1,1,0,12,1,0,0,191,649,B,6,10
2622,PUEBLA,78,35,2,5,7,4,48,8,1,0,0,14,2,0,1,208,649,C,6,10
2622,PUEBLA,65,29,5,7,0,0,42,16,1,1,0,10,0,1,1,182,649,C,6,10
2623,PUEBLA,69,20,2,6,3,2,33,20,2,0,0,9,1,2,0,175,621,B,6,10
2623,PUEBLA,78,12,3,9,3,4,38,17,3,1,0,10,0,1,1,186,620,C,6,10
2623,PUEBLA,78,16,1,13,0,6,40,15,3,1,0,15,0,3,0,197,620,C,6,10
2624,PUEBLA,44,30,1,8,3,1,33,13,0,0,0,9,3,4,1,154,588,B,6,10
2624,PUEBLA,56,23,2,8,1,1,30,5,2,1,0,10,2,2,1,153,588,C,6,10
2626,PUEBLA,61,24,2,12,4,1,0,11,1,102,0,13,0,2,4,249,616,B,6,10
2626,PUEBLA,64,13,3,8,6,2,44,5,1,0,1,5,1,1,0,160,615,C,6,10
2627,PUEBLA,80,14,6,6,1,2,31,13,1,2,0,11,0,1,0,170,595,B,6,10
2627,PUEBLA,57,20,2,16,1,5,45,12,3,1,0,9,0,2,0,176,595,C,6,10
2627,PUEBLA,75,18,3,15,2,2,33,1,3,1,0,12,2,5,0,181,595,C,6,10
2628,PUEBLA,82,26,4,4,4,5,29,18,3,3,0,13,0,1,0,199,691,B,6,10
2628,PUEBLA,82,22,2,6,2,3,53,16,1,1,0,15,1,1,0,214,690,C,6,10
2629,PUEBLA,52,33,1,10,7,5,42,13,2,2,0,12,0,3,0,191,659,B,6,10
2629,PUEBLA,42,37,3,10,9,2,33,12,2,2,0,16,2,2,1,181,659,C,6,10
2630,PUEBLA,45,30,2,14,5,4,25,7,1,0,0,9,0,0,0,147,517,B,6,10
2630,PUEBLA,61,29,3,24,3,2,31,66,64,63,5,58,27,55,34,528,517,C,6,10
2631,PUEBLA,39,25,2,10,6,1,22,0,4,1,0,11,2,1,0,132,647,B,6,10
2631,PUEBLA,37,27,3,7,4,4,26,2,3,0,0,15,1,2,0,139,646,C,6,10
2631,PUEBLA,30,22,2,8,7,3,28,7,1,2,0,11,1,1,0,129,646,C,6,10
2632,PUEBLA,60,33,3,8,7,4,36,6,1,1,0,14,2,1,0,184,581,B,6,10
2632,PUEBLA,68,25,3,5,5,6,34,10,1,2,0,10,1,1,1,181,581,C,6,10
1339,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,6,16
1418,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,6,11
1585,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B8,6,16
2630,PUEBLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,6,10