SECCION,MUN,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FPM
476,BALANCÁN,159,1019,1452,9380,91,136,10040,3472,376,256
476,CÁRDENAS,300,1531,23143,1532,1183,818,51407,1250,1138,0
468,CENTLA,197,3692,1483,4429,394,7979,13544,4170,1479,5950
496,CENTRO,3334,46712,17538,4904,1621,2385,139818,2095,2124,1424
480,COMALCALCO,259,5217,33560,677,737,654,48803,932,1042,573
480,CUNDUACÁN,152,1240,2163,244,606,557,19449,1095,522,0
480,EMILIANO ZAPATA,113,104,36,7992,0,0,8061,115,240,0
480,HUIMANGUILLO,172,805,32111,3702,2279,273,34865,1097,1289,0
471,JALAPA,35,309,228,5407,143,4000,8354,219,0,0
472,JALPA DE MÉNDEZ,79,1968,4091,2171,11874,337,16451,374,335,0
481,JONUTA,29,93,7723,76,29,94,11383,160,207,0
482,MACUSPANA,364,1906,4858,9493,663,1222,25841,4031,1871,325
483,NACAJUCA,549,965,374,15502,934,334,19769,700,13323,826
484,PARAÍSO,132,1063,15658,288,192,549,12857,396,598,11370
485,TACOTALPA,60,2307,516,257,87,10235,6931,409,207,376
486,TEAPA,53,5118,2707,353,395,407,7465,243,281,3967
487,TENOSIQUE,197,9427,185,321,93,147,14738,318,156,182
488,TENOSIQUE,197,9427,185,321,0,0,14738,318,156,182